symbol,entry_time,entry_price,exit_time,exit_price,quantity,direction,realized_pnl,reason
BANKNIFTY22110341600CE,2022-11-01 09:15:00,270.0,2022-11-01 09:15:40,264.8,1,LONG,-5.199999999999989,rotate_exit
BANKNIFTY22110341600PE,2022-11-01 09:15:00,414.15,2022-11-01 09:15:40,338.65,1,LONG,-75.5,rotate_exit
BANKNIFTY22110341700CE,2022-11-01 09:15:40,219.95,2022-11-01 09:15:58,216.15,1,LONG,-3.799999999999983,rotate_exit
BANKNIFTY22110341700PE,2022-11-01 09:15:40,395.65,2022-11-01 09:15:58,403.35,1,LONG,7.7000000000000455,rotate_exit
BANKNIFTY22110341600CE,2022-11-01 09:15:58,263.25,2022-11-01 09:16:01,255.75,1,LONG,-7.5,rotate_exit
BANKNIFTY22110341600PE,2022-11-01 09:15:58,346.5,2022-11-01 09:16:01,343.35,1,LONG,-3.1499999999999773,rotate_exit
BANKNIFTY22110341700CE,2022-11-01 09:16:01,210.05,2022-11-01 09:16:02,212.55,1,LONG,2.5,rotate_exit
BANKNIFTY22110341700PE,2022-11-01 09:16:01,397.2,2022-11-01 09:16:02,400.05,1,LONG,2.8500000000000227,rotate_exit
BANKNIFTY22110341600CE,2022-11-01 09:16:02,258.3,2022-11-01 09:16:07,261.45,1,LONG,3.1499999999999773,rotate_exit
BANKNIFTY22110341600PE,2022-11-01 09:16:02,344.55,2022-11-01 09:16:07,343.65,1,LONG,-0.9000000000000341,rotate_exit
BANKNIFTY22110341700CE,2022-11-01 09:16:07,214.15,2022-11-01 09:16:09,215.15,1,LONG,1.0,rotate_exit
BANKNIFTY22110341700PE,2022-11-01 09:16:07,397.3,2022-11-01 09:16:09,399.05,1,LONG,1.75,rotate_exit
BANKNIFTY22110341600CE,2022-11-01 09:16:09,261.2,2022-11-01 09:16:11,258.55,1,LONG,-2.6499999999999773,rotate_exit
BANKNIFTY22110341600PE,2022-11-01 09:16:09,341.75,2022-11-01 09:16:11,344.3,1,LONG,2.5500000000000114,rotate_exit
BANKNIFTY22110341700CE,2022-11-01 09:16:11,214.95,2022-11-01 09:16:12,213.1,1,LONG,-1.8499999999999943,rotate_exit
BANKNIFTY22110341700PE,2022-11-01 09:16:11,397.75,2022-11-01 09:16:12,400.65,1,LONG,2.8999999999999773,rotate_exit
BANKNIFTY22110341600CE,2022-11-01 09:16:12,258.6,2022-11-01 09:16:14,259.15,1,LONG,0.5499999999999545,rotate_exit
BANKNIFTY22110341600PE,2022-11-01 09:16:12,344.3,2022-11-01 09:16:14,342.6,1,LONG,-1.6999999999999886,rotate_exit
BANKNIFTY22110341700CE,2022-11-01 09:16:14,213.85,2022-11-01 09:16:17,211.85,1,LONG,-2.0,rotate_exit
BANKNIFTY22110341700PE,2022-11-01 09:16:14,397.55,2022-11-01 09:16:17,400.3,1,LONG,2.75,rotate_exit
BANKNIFTY22110341600CE,2022-11-01 09:16:17,258.1,2022-11-01 09:16:19,258.5,1,LONG,0.39999999999997726,rotate_exit
BANKNIFTY22110341600PE,2022-11-01 09:16:17,345.35,2022-11-01 09:16:19,342.7,1,LONG,-2.650000000000034,rotate_exit
BANKNIFTY22110341700CE,2022-11-01 09:16:19,213.9,2022-11-01 09:16:25,212.2,1,LONG,-1.700000000000017,rotate_exit
BANKNIFTY22110341700PE,2022-11-01 09:16:19,396.6,2022-11-01 09:16:25,401.45,1,LONG,4.849999999999966,rotate_exit
BANKNIFTY22110341600CE,2022-11-01 09:16:25,257.75,2022-11-01 09:31:57,251.95,1,LONG,-5.800000000000011,rotate_exit
BANKNIFTY22110341600PE,2022-11-01 09:16:25,345.95,2022-11-01 09:31:57,335.15,1,LONG,-10.800000000000011,rotate_exit
BANKNIFTY22110341700CE,2022-11-01 09:31:57,205.0,2022-11-01 09:32:00,205.7,1,LONG,0.6999999999999886,rotate_exit
